id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
0,3.005000e-07,-1.802517e-01,-6.221626e-03,-2.828018e-01,8.431606e-01,-1.115243e-04,-5.376618e-01,1.000000e+00
1,3.005000e-07,-2.857594e-01,-3.575384e-03,-1.753238e-01,5.213089e-01,-1.746612e-04,-8.533680e-01,1.000000e+00
2,3.005000e-07,1.904368e-01,-1.193397e-02,-2.753206e-01,8.205287e-01,4.447633e-05,5.716053e-01,1.000000e+00
3,3.005000e-07,4.392929e-02,-1.715079e-02,3.304766e-01,-9.911215e-01,2.749994e-04,1.329592e-01,1.000000e+00
4,3.005000e-07,1.375485e-02,-3.587385e-02,3.331985e-01,-9.991222e-01,7.192269e-04,4.188457e-02,1.000000e+00
5,3.005000e-07,-3.332122e-01,-1.420560e-04,-3.245964e-02,9.413486e-02,-2.468072e-04,-9.955594e-01,1.000000e+00
6,3.005000e-07,1.317014e-01,-1.095000e-02,-3.080953e-01,9.183503e-01,1.582665e-05,3.957685e-01,1.000000e+00
7,3.005000e-07,2.802462e-01,-1.590185e-02,1.812145e-01,-5.443570e-01,2.007924e-04,8.388536e-01,1.000000e+00
8,3.005000e-07,-8.816496e-02,-7.883488e-03,-3.237470e-01,9.649772e-01,-6.966558e-05,-2.623338e-01,1.000000e+00
9,3.005000e-07,-9.667600e-02,-7.829376e-03,-3.212709e-01,9.578551e-01,-7.195975e-05,-2.872518e-01,1.000000e+00
10,3.005000e-07,1.066364e-01,-1.074511e-02,-3.179201e-01,9.477208e-01,8.249897e-06,3.191006e-01,1.000000e+00
11,3.005000e-07,-3.852228e-02,-8.629277e-03,-3.330435e-01,9.935333e-01,-4.978236e-05,-1.135414e-01,1.000000e+00
12,3.005000e-07,-2.985057e-01,-2.878412e-03,-1.516759e-01,4.507597e-01,-1.890898e-04,-8.926453e-01,1.000000e+00
13,3.005000e-07,-3.050684e-01,-3.698501e-03,-1.402440e-01,4.155820e-01,-1.784847e-04,-9.095557e-01,1.000000e+00
14,3.005000e-07,2.882702e-01,-1.584484e-02,1.681210e-01,-5.058315e-01,1.974309e-04,8.626323e-01,1.000000e+00
15,3.005000e-07,2.704374e-01,-1.297511e-02,-1.975035e-01,5.875916e-01,8.037567e-05,8.091577e-01,1.000000e+00
16,3.005000e-07,-2.940932e-01,-3.716749e-03,-1.603374e-01,4.755918e-01,-1.753870e-04,-8.796661e-01,1.000000e+00
17,3.005000e-07,3.332962e-01,-1.497594e-02,2.212909e-02,-6.937129e-02,1.549215e-04,9.975909e-01,1.000000e+00
18,3.005000e-07,2.075382e-01,-1.195504e-02,-2.631324e-01,7.833135e-01,4.716293e-05,6.216268e-01,1.000000e+00
19,3.005000e-07,-2.302378e-01,-4.918726e-03,-2.442352e-01,7.277465e-01,-1.416189e-04,-6.858462e-01,1.000000e+00
20,3.005000e-07,2.181596e-01,-1.631414e-02,2.524808e-01,-7.575986e-01,2.240556e-04,6.527207e-01,1.000000e+00
21,3.005000e-07,2.794820e-01,-1.276823e-02,-1.840442e-01,5.474629e-01,7.844841e-05,8.368299e-01,1.000000e+00
22,3.005000e-07,6.179114e-02,-9.938587e-03,-3.294944e-01,9.825359e-01,-1.313185e-05,1.860729e-01,1.000000e+00
23,3.005000e-07,5.861281e-02,-1.043494e-02,-3.302507e-01,9.846254e-01,-4.659589e-06,1.746791e-01,1.000000e+00
24,3.005000e-07,2.066470e-01,-1.236097e-02,-2.640868e-01,7.860431e-01,5.441672e-05,6.181717e-01,1.000000e+00
25,3.005000e-07,5.704564e-02,-1.021417e-02,-3.304783e-01,9.852967e-01,-8.859991e-06,1.708519e-01,1.000000e+00
26,3.005000e-07,-2.311733e-01,-5.247618e-03,-2.421192e-01,7.212989e-01,-1.366970e-04,-6.926239e-01,1.000000e+00
27,3.005000e-07,6.740158e-02,-1.019892e-02,-3.283099e-01,9.792094e-01,-6.734114e-06,2.028523e-01,1.000000e+00
28,3.005000e-07,3.012881e-01,-1.326623e-02,-1.453309e-01,4.316179e-01,9.522470e-05,9.020565e-01,1.000000e+00
29,3.005000e-07,1.159749e-01,-1.092629e-02,-3.144955e-01,9.373753e-01,1.324271e-05,3.483211e-01,1.000000e+00
30,3.005000e-07,2.312858e-01,-1.218637e-02,-2.424024e-01,7.221290e-01,5.646264e-05,6.917584e-01,1.000000e+00
31,3.005000e-07,-3.235157e-01,-1.415706e-03,-8.644157e-02,2.556448e-01,-2.210901e-04,-9.667707e-01,9.999999e-01
32,3.005000e-07,-3.115042e-01,4.092873e-03,1.205154e-01,-3.634572e-01,-3.278506e-04,-9.316108e-01,1.000000e+00
33,3.005000e-07,-2.430743e-01,-4.856274e-03,-2.310001e-01,6.879409e-01,-1.447558e-04,-7.257667e-01,1.000000e+00
34,3.005000e-07,3.282376e-01,-1.503005e-02,6.352286e-02,-1.927528e-01,1.627161e-04,9.812473e-01,1.000000e+00
35,3.005000e-07,2.304752e-01,-1.658654e-02,2.415355e-01,-7.259501e-01,2.272850e-04,6.877473e-01,1.000000e+00
36,3.005000e-07,1.733273e-01,-1.175318e-02,-2.872086e-01,8.551973e-01,3.715596e-05,5.183027e-01,1.000000e+00
37,3.005000e-07,2.352357e-01,-1.640195e-02,2.366150e-01,-7.108000e-01,2.224811e-04,7.033941e-01,1.000000e+00
38,3.005000e-07,2.156777e-01,-1.618718e-02,2.549404e-01,-7.636583e-01,2.220783e-04,6.456205e-01,9.999999e-01
39,3.005000e-07,-3.036583e-01,9.486450e-02,1.388237e-01,-4.180763e-01,-1.304051e-03,-9.084110e-01,1.000000e+00
40,3.005000e-07,-3.985600e-02,-8.511916e-03,-3.331133e-01,9.930183e-01,-5.207037e-05,-1.179605e-01,1.000000e+00
41,3.005000e-07,3.341769e-01,-1.468811e-02,-1.651539e-02,4.666252e-02,1.433723e-04,9.989107e-01,1.000000e+00
42,3.005000e-07,1.257386e-01,-1.093327e-02,-3.106064e-01,9.261022e-01,1.509865e-05,3.772727e-01,1.000000e+00
43,3.005000e-07,3.214304e-01,-1.507064e-02,8.982980e-02,-2.712869e-01,1.676716e-04,9.624985e-01,1.000000e+00
44,3.005000e-07,4.296326e-02,-9.703490e-03,-3.325052e-01,9.915970e-01,-1.975349e-05,1.293654e-01,1.000000e+00
45,3.005000e-07,3.187552e-01,-1.559843e-02,9.787316e-02,-2.960141e-01,1.802891e-04,9.551836e-01,1.000000e+00
46,3.005000e-07,2.247885e-01,-1.635045e-02,2.463120e-01,-7.393386e-01,2.234921e-04,6.733338e-01,1.000000e+00
47,3.005000e-07,1.923887e-01,-1.647376e-02,2.723752e-01,-8.172751e-01,2.327420e-04,5.762476e-01,1.000000e+00
48,3.005000e-07,-3.070094e-01,-2.466577e-03,-1.338808e-01,3.976208e-01,-1.983135e-04,-9.175498e-01,1.000000e+00
49,3.005000e-07,2.920422e-01,-1.355945e-02,-1.635726e-01,4.857727e-01,9.810790e-05,8.740852e-01,1.000000e+00
50,3.005000e-07,3.117347e-01,-1.375753e-02,-1.206645e-01,3.575798e-01,1.090349e-04,9.338826e-01,1.000000e+00
51,3.005000e-07,-3.075388e-01,4.874661e-03,1.301057e-01,-3.923152e-01,-3.393464e-04,-9.198308e-01,1.000000e+00
52,3.005000e-07,2.130881e-02,-1.005286e-02,-3.348927e-01,9.979977e-01,-1.679718e-05,6.324949e-02,1.000000e+00
53,3.005000e-07,1.834365e-01,-1.665402e-02,2.782819e-01,-8.355779e-01,2.390417e-04,5.493720e-01,1.000000e+00
54,3.005000e-07,-3.208893e-01,3.100688e-03,9.342643e-02,-2.828159e-01,-3.101067e-04,-9.591742e-01,1.000000e+00
55,3.005000e-07,3.207279e-01,-1.390977e-02,-9.485649e-02,2.805038e-01,1.154197e-04,9.598529e-01,1.000000e+00
56,3.005000e-07,-5.677699e-02,-8.230473e-03,-3.305461e-01,9.857927e-01,-5.904717e-05,-1.679665e-01,1.000000e+00
57,3.005000e-07,1.105195e-01,-1.051855e-02,-3.164564e-01,9.433678e-01,4.777405e-06,3.317486e-01,1.000000e+00
58,3.005000e-07,3.341279e-01,-1.491078e-02,1.106342e-02,-3.702271e-02,1.522895e-04,9.993144e-01,1.000000e+00
59,3.005000e-07,-5.128384e-02,-8.731996e-03,-3.315691e-01,9.882058e-01,-5.002324e-05,-1.531318e-01,1.000000e+00
60,3.005000e-07,6.848748e-02,-1.025153e-02,-3.281678e-01,9.784011e-01,-5.789129e-06,2.067154e-01,1.000000e+00
61,3.005000e-07,3.012483e-01,-1.388451e-02,-1.470418e-01,4.358694e-01,1.064236e-04,9.000099e-01,1.000000e+00
62,3.005000e-07,-3.000056e-01,3.728507e-02,1.465231e-01,-4.417882e-01,-7.231858e-04,-8.971191e-01,1.000000e+00
63,3.005000e-07,2.730230e-01,-1.598821e-02,1.917091e-01,-5.762861e-01,2.039281e-04,8.172480e-01,1.000000e+00
64,3.005000e-07,1.554152e-01,-1.661860e-02,2.952331e-01,-8.855752e-01,2.432677e-04,4.644960e-01,1.000000e+00
65,3.005000e-07,-3.481705e-02,-8.795776e-03,-3.334541e-01,9.947034e-01,-4.595093e-05,-1.027873e-01,1.000000e+00
66,3.005000e-07,1.916154e-02,-9.453621e-03,-3.346301e-01,9.982803e-01,-2.655003e-05,5.862117e-02,1.000000e+00
67,3.005000e-07,1.554672e-01,-1.111883e-02,-2.967102e-01,8.844655e-01,2.324800e-05,4.666055e-01,1.000000e+00
68,3.005000e-07,3.158096e-01,-1.521134e-02,1.082503e-01,-3.264466e-01,1.738471e-04,9.452156e-01,1.000000e+00
69,3.005000e-07,-3.071806e-01,1.434551e-01,1.322567e-01,-3.987881e-01,-1.745012e-03,-9.170414e-01,1.000000e+00
70,3.005000e-07,-3.291992e-01,-5.197167e-04,-5.736708e-02,1.685630e-01,-2.379845e-04,-9.856909e-01,1.000000e+00
71,3.005000e-07,4.622776e-02,-9.969366e-03,-3.322313e-01,9.902644e-01,-1.459247e-05,1.391989e-01,1.000000e+00
72,3.005000e-07,2.719490e-01,-1.596859e-02,1.938206e-01,-5.826498e-01,2.042516e-04,8.127233e-01,1.000000e+00
73,3.005000e-07,-3.135516e-01,-2.506052e-03,-1.185212e-01,3.510387e-01,-1.997031e-04,-9.363609e-01,1.000000e+00
74,3.005000e-07,-2.459958e-01,-4.868820e-03,-2.274265e-01,6.770493e-01,-1.457741e-04,-7.359377e-01,1.000000e+00
75,3.005000e-07,1.311725e-02,-3.567189e-02,3.332910e-01,-9.992422e-01,7.138417e-04,3.891584e-02,1.000000e+00
76,3.005000e-07,3.196013e-02,-5.279779e-02,3.320971e-01,-9.954106e-01,1.257116e-03,9.568756e-02,1.000000e+00
77,3.005000e-07,-3.111424e-01,-2.441903e-03,-1.227913e-01,3.641100e-01,-2.002302e-04,-9.313559e-01,1.000000e+00
78,3.005000e-07,6.655720e-02,-1.675923e-02,3.269401e-01,-9.801416e-01,2.612140e-04,1.982986e-01,1.000000e+00
79,3.005000e-07,-2.648044e-01,-4.441064e-03,-2.053008e-01,6.108751e-01,-1.564277e-04,-7.917269e-01,9.999999e-01
80,3.005000e-07,-3.347547e-01,2.583670e-04,-1.915156e-03,2.374408e-03,-2.570717e-04,-9.999971e-01,1.000000e+00
81,3.005000e-07,6.915530e-02,-1.036215e-02,-3.283005e-01,9.782381e-01,-4.164243e-06,2.074855e-01,1.000000e+00
82,3.005000e-07,-3.346526e-01,6.137590e-04,9.435562e-03,-3.173401e-02,-2.639823e-04,-9.994963e-01,1.000000e+00
83,3.005000e-07,-1.204362e-01,-7.229273e-03,-3.128885e-01,9.334716e-01,-8.472752e-05,-3.586512e-01,1.000000e+00
84,3.005000e-07,4.108789e-02,-1.031587e-02,-3.331414e-01,9.924082e-01,-9.072635e-06,1.229878e-01,1.000000e+00
85,3.005000e-07,1.488856e-01,-1.121917e-02,-3.003775e-01,8.952465e-01,2.321900e-05,4.455713e-01,1.000000e+00
86,3.005000e-07,-1.137792e-01,-7.832881e-03,-3.154220e-01,9.403600e-01,-7.381601e-05,-3.401810e-01,1.000000e+00
87,3.005000e-07,-1.928016e-01,-5.976150e-03,-2.744155e-01,8.176773e-01,-1.182131e-04,-5.756768e-01,1.000000e+00
88,3.005000e-07,3.041213e-01,-1.352221e-02,-1.398189e-01,4.151678e-01,1.008791e-04,9.097449e-01,1.000000e+00
89,3.005000e-07,2.499867e-01,-1.602711e-02,2.214907e-01,-6.642275e-01,2.114043e-04,7.475304e-01,1.000000e+00
90,3.005000e-07,8.014823e-03,-9.456665e-03,-3.354576e-01,9.996949e-01,-2.909898e-05,2.470034e-02,1.000000e+00
91,3.005000e-07,-3.337068e-01,-4.721871e-05,-2.496286e-02,7.146079e-02,-2.493857e-04,-9.974434e-01,1.000000e+00
92,3.005000e-07,2.996513e-01,-1.572864e-02,1.467162e-01,-4.426194e-01,1.913508e-04,8.967096e-01,1.000000e+00
93,3.005000e-07,-3.325570e-01,-6.414000e-04,-3.931385e-02,1.141075e-01,-2.392359e-04,-9.934684e-01,1.000000e+00
94,3.005000e-07,3.339170e-01,-1.487753e-02,-1.015791e-02,2.676647e-02,1.486772e-04,9.996417e-01,1.000000e+00
95,3.005000e-07,3.307836e-01,-1.521131e-02,4.912105e-02,-1.503705e-01,1.641734e-04,9.886297e-01,1.000000e+00
96,3.005000e-07,6.606220e-02,-1.729660e-02,3.265400e-01,-9.800870e-01,2.728772e-04,1.985682e-01,1.000000e+00
97,3.005000e-07,4.243797e-02,-9.906580e-03,-3.326863e-01,9.917141e-01,-1.599415e-05,1.284644e-01,1.000000e+00
98,3.005000e-07,-3.318371e-01,-6.802626e-04,-3.973581e-02,1.148801e-01,-2.379035e-04,-9.933793e-01,1.000000e+00
99,3.005000e-07,3.048706e-01,-1.362250e-02,-1.381090e-01,4.099227e-01,1.026008e-04,9.121203e-01,1.000000e+00
100,3.005000e-07,-1.025625e-01,-8.101299e-03,-3.191378e-01,9.514115e-01,-6.826898e-05,-3.079222e-01,1.000000e+00
101,3.005000e-07,2.089497e-01,-1.228203e-02,-2.621234e-01,7.803613e-01,5.378446e-05,6.253289e-01,1.000000e+00
102,3.005000e-07,1.278410e-01,-1.072290e-02,-3.097461e-01,9.234735e-01,1.149747e-05,3.836622e-01,1.000000e+00
103,3.005000e-07,-1.718504e-02,-9.251872e-03,-3.350029e-01,9.986899e-01,-3.645008e-05,-5.117174e-02,1.000000e+00
104,3.005000e-07,3.657074e-02,-1.710378e-02,3.312454e-01,-9.940397e-01,2.741528e-04,1.090181e-01,1.000000e+00
