id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
0,3.005000e-07,-1.619851e-01,1.102451e-02,-2.936530e-01,8.756125e-01,-3.559976e-04,-4.830140e-01,1.000000e+00
1,3.005000e-07,2.094028e-01,2.586922e-03,-2.610853e-01,7.779406e-01,-1.848083e-04,6.283378e-01,1.000000e+00
2,3.005000e-07,1.527018e-01,3.961267e-03,-2.981691e-01,8.886554e-01,-2.150420e-04,4.585756e-01,1.000000e+00
3,3.005000e-07,-6.701591e-02,8.292178e-03,-3.287674e-01,9.799854e-01,-3.066225e-04,-1.990693e-01,1.000000e+00
4,3.005000e-07,-7.566251e-02,8.609727e-03,-3.268377e-01,9.744991e-01,-3.118948e-04,-2.243910e-01,1.000000e+00
5,3.005000e-07,1.283902e-01,4.442530e-03,-3.097473e-01,9.232696e-01,-2.257972e-04,3.841526e-01,1.000000e+00
6,3.005000e-07,-1.635527e-02,7.531811e-03,-3.348352e-01,9.988837e-01,-2.893870e-04,-4.723692e-02,1.000000e+00
7,3.005000e-07,2.842234e-01,1.065191e-03,-1.769684e-01,5.261829e-01,-1.469125e-04,8.503714e-01,1.000000e+00
8,3.005000e-07,3.334921e-01,-1.640520e-02,1.910982e-02,-6.034359e-02,1.810323e-04,9.981776e-01,1.000000e+00
9,3.005000e-07,2.255891e-01,2.377411e-03,-2.477362e-01,7.372614e-01,-1.799266e-04,6.756075e-01,9.999999e-01
10,3.005000e-07,-2.147043e-01,1.270183e-02,-2.579936e-01,7.688977e-01,-3.867193e-04,-6.393717e-01,1.000000e+00
11,3.005000e-07,2.920119e-01,1.026389e-03,-1.632943e-01,4.854236e-01,-1.445573e-04,8.742791e-01,1.000000e+00
12,3.005000e-07,8.398335e-02,5.432216e-03,-3.245081e-01,9.676152e-01,-2.466244e-04,2.524296e-01,1.000000e+00
13,3.005000e-07,8.084636e-02,4.934662e-03,-3.255251e-01,9.704806e-01,-2.391855e-04,2.411792e-01,1.000000e+00
14,3.005000e-07,2.251340e-01,2.295839e-03,-2.484349e-01,7.392210e-01,-1.779844e-04,6.734629e-01,1.000000e+00
15,3.005000e-07,7.929952e-02,5.131120e-03,-3.258384e-01,9.714094e-01,-2.428754e-04,2.374104e-01,1.000000e+00
16,3.005000e-07,-2.161564e-01,1.206793e-02,-2.556949e-01,7.619018e-01,-3.782642e-04,-6.476925e-01,1.000000e+00
17,3.005000e-07,8.997635e-02,5.385545e-03,-3.228118e-01,9.627559e-01,-2.442467e-04,2.703719e-01,1.000000e+00
